epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,273.8,1.98629,2.69511,1.79184,0.12469,0.11111,0.05626,0.02394,2.16186,3.11116,1.84143,0.0011882,0.0011882,0.0011882
43,279.178,1.81512,2.56163,1.61221,0.07905,0.22222,0.09013,0.03834,2.23855,3.25307,1.93232,0.0011684,0.0011684,0.0011684
44,284.975,1.83972,2.50239,1.67914,0.13116,0.22222,0.12367,0.05383,2.22548,3.52684,1.98592,0.0011486,0.0011486,0.0011486
45,291.304,1.7049,2.54716,1.56261,0.22613,0.11111,0.12167,0.05534,2.20652,2.95245,1.95552,0.0011288,0.0011288,0.0011288
46,296.794,1.79234,2.32052,1.60629,0.38243,0.11111,0.1419,0.07772,2.1515,2.85286,1.89099,0.001109,0.001109,0.001109
47,304.016,1.72292,2.32216,1.57923,0.08175,0.11111,0.05844,0.02845,2.24557,3.09715,1.8676,0.0010892,0.0010892,0.0010892
48,309.436,1.81656,2.25566,1.62446,0.15912,0.16667,0.09407,0.04931,2.23417,2.92895,1.86458,0.0010694,0.0010694,0.0010694
49,316.013,1.72232,2.2539,1.53721,0.31691,0.22222,0.12664,0.04261,2.16973,2.96912,1.87931,0.0010496,0.0010496,0.0010496
50,321.61,1.7289,2.50525,1.58698,0.27602,0.27778,0.13884,0.05383,2.10063,2.8358,1.85639,0.0010298,0.0010298,0.0010298
51,327.62,1.75932,2.35355,1.58351,0.34996,0.22222,0.18342,0.08242,2.03793,3.08138,1.84961,0.00101,0.00101,0.00101
52,333.889,1.72761,2.47411,1.6449,0.29772,0.30693,0.1262,0.05638,2.13913,3.08017,1.85979,0.0009902,0.0009902,0.0009902
53,339.248,1.69155,2.31295,1.53182,0.366,0.22222,0.17474,0.07782,2.28402,2.8457,1.93321,0.0009704,0.0009704,0.0009704
54,346.302,1.72145,2.25153,1.51183,0.26284,0.27778,0.12783,0.058,2.21168,2.85855,1.87848,0.0009506,0.0009506,0.0009506
55,351.905,1.57433,2.09221,1.44399,0.21209,0.33333,0.156,0.06978,2.09674,2.75162,1.82619,0.0009308,0.0009308,0.0009308
56,358.762,1.65045,2.05754,1.47906,0.3773,0.22222,0.16045,0.081,1.96292,2.87856,1.74778,0.000911,0.000911,0.000911
57,364.284,1.76227,2.19639,1.55656,0.28056,0.22222,0.10006,0.05075,2.0822,3.22562,1.85641,0.0008912,0.0008912,0.0008912
58,369.949,1.68503,2.15752,1.55735,0.4344,0.16667,0.11388,0.05448,2.12666,3.14427,1.86346,0.0008714,0.0008714,0.0008714
59,376.777,1.6831,2.05338,1.51592,0.43653,0.22222,0.13088,0.06594,2.08075,2.97984,1.80596,0.0008516,0.0008516,0.0008516
